ARK;"Object name/Title";Author;Date;"Inventory number";Collection;"Geographic references / Places";Location;MNR
cl020624957;"Etude de paysage";"THIER Bernhard Heinrich";;"421 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 16, dessiné au recto";
cl020624958;"Etude de paysage";"THIER Bernhard Heinrich";;"422 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 17, dessiné au recto";
cl020624959;"Etude de paysage";"THIER Bernhard Heinrich";;"423 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 18, dessiné au recto";
cl020624960;"Etude de paysage";"THIER Bernhard Heinrich";;"424 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 19, dessiné au recto";
cl020624961;"Etude de paysage";"THIER Bernhard Heinrich";;"425 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 20, dessiné au recto";
cl020624962;"Etude de paysage";"THIER Bernhard Heinrich";;"426 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 21, dessiné au recto";
cl020624963;"Etude de paysage";"THIER Bernhard Heinrich";;"427 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 22, dessiné au recto";
cl020624964;"Etude de paysage";"THIER Bernhard Heinrich";;"428 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 23, dessiné au recto";
cl020624965;"Etude de paysage";"THIER Bernhard Heinrich";;"429 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 24, dessiné au recto";
cl020624966;"Etude de paysage";"THIER Bernhard Heinrich";;"429 DR/ Verso; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 24, dessiné au verso";
cl020624967;"Etude de paysage";"THIER Bernhard Heinrich";;"430 DR/ Recto; 392; vol.1, p.7";"Département des Arts graphiques";;"Réserve Edmond de Rothschild, Album 406 DR à 493 DR, Folio 25, dessiné au recto";
